chr	start	end	name	m-L5-s1_S1_dupsRemoved_host.bam	m-L5-s2_S2_dupsRemoved_host.bam	m-L5-t1_S3_dupsRemoved_host.bam	m-L5-t2_S4_dupsRemoved_host.bam	m-N12-s1_S5_dupsRemoved_host.bam	m-N12-s2_S6_dupsRemoved_host.bam	m-N12-t1_S7_dupsRemoved_host.bam	m-N12-t2_S8_dupsRemoved_host.bam	ub-L5-s1_S9_dupsRemoved_host.bam	ub-L5-s2_S10_dupsRemoved_host.bam	ub-L5-t1_S11_dupsRemoved_host.bam	ub-L5-t2_S12_dupsRemoved_host.bam	ub-N12-s1_S13_dupsRemoved_host.bam	ub-N12-s2_S14_dupsRemoved_host.bam	ub-N12-t1_S15_dupsRemoved_host.bam	ub-N12-t2_S16_dupsRemoved_host.bam
chr1	18300000	18400000	chr1_18300000_18400000	3755	2883	3708	3456	3177	3914	2994	4124	4914	6025	6577	4802	8406	5930	6102	4554
chr1	18400000	18500000	chr1_18400000_18500000	4324	3227	4092	3810	3961	4702	3823	5180	5770	6735	7589	5352	9775	6811	7367	5745
chr1	18500000	18600000	chr1_18500000_18600000	4345	3487	3927	3842	2971	3651	2864	3781	5151	6008	6723	4680	7407	5239	5462	4268
chr1	18600000	18700000	chr1_18600000_18700000	3681	2218	3557	3028	2636	3099	2484	3389	6782	7902	9213	6354	8178	5751	6514	5174
chr1	18700000	18800000	chr1_18700000_18800000	10496	9835	8904	10013	8190	8848	8165	10138	2933	4182	3732	3198	6736	5340	3253	2435
chr1	18800000	18900000	chr1_18800000_18900000	8668	8406	7314	8488	6976	7700	7235	8957	2463	3330	3021	2490	6356	4866	3524	2629
chr1	18900000	19000000	chr1_18900000_19000000	10755	9707	9732	10333	8221	9283	8624	10458	4646	5906	5815	4544	8296	6389	4499	3409
chr1	19000000	19100000	chr1_19000000_19100000	9743	8622	8599	9270	7547	8227	7875	9846	5546	6782	7196	5519	8250	6223	5214	3935
chr1	19100000	19200000	chr1_19100000_19200000	2624	1779	2477	2244	2949	3535	2608	3551	3849	4423	4887	3555	7911	5666	5582	4339
chr1	19200000	19300000	chr1_19200000_19300000	5781	4716	5385	5244	4415	5144	4142	5651	6126	7148	7971	5691	9404	6804	6953	5346
chr1	19300000	19400000	chr1_19300000_19400000	3885	2995	3543	3321	3616	4308	3470	4663	4991	5991	6626	4716	8977	6413	6815	5254
chr1	19400000	19500000	chr1_19400000_19500000	6434	5512	5852	5832	4963	5535	4868	6393	4790	5830	6271	4628	8399	6151	5661	4432
chr1	19500000	19600000	chr1_19500000_19600000	3577	2246	3499	2807	3802	4467	3561	4989	6426	7578	8260	5657	11385	8121	8720	6721
chr1	19600000	19700000	chr1_19600000_19700000	3395	2298	3242	2916	2693	2900	2545	3524	5082	6021	6860	4752	6086	4414	4582	3506
chr1	19700000	19800000	chr1_19700000_19800000	4696	3505	4362	4008	3831	4323	3724	4983	5325	6202	6625	4758	8112	5722	5377	4116
chr1	19800000	19900000	chr1_19800000_19900000	4037	2664	3835	3372	3319	3889	3110	4330	5975	7112	7771	5607	8846	6232	6560	4975
chr1	19900000	20000000	chr1_19900000_20000000	5529	4237	4964	4679	4153	4732	3980	5412	5888	6945	7672	5436	8566	6413	6340	4913
chr1	20000000	20100000	chr1_20000000_20100000	4149	2711	4112	3364	3685	4270	3377	4768	6410	7595	8628	6063	9753	6928	7406	5904
chr1	20100000	20200000	chr1_20100000_20200000	17406	16557	14680	16448	11295	12365	11382	13798	4322	5883	5494	4618	7473	6100	3407	2566
chr1	20200000	20300000	chr1_20200000_20300000	7007	6030	6121	6350	4409	4974	4517	5862	4808	6080	6188	4716	7474	5363	5135	3987
chr1	20300000	20400000	chr1_20300000_20400000	4371	3207	4021	3618	3376	3985	3170	4394	5344	6280	7094	5042	8295	5813	5887	4652
chr1	20400000	20500000	chr1_20400000_20500000	4642	3844	4072	4122	3866	4412	3631	4945	3823	4563	4892	3616	8134	5999	5897	4417
chr1	20500000	20600000	chr1_20500000_20600000	5724	5026	5124	5327	4186	4818	3978	5205	4030	4956	5139	3894	8705	6257	6176	4639
chr1	20600000	20700000	chr1_20600000_20700000	4138	3226	3807	3659	3207	3812	3112	4209	4298	5113	5702	4111	7627	5511	5787	4403
chr1	20700000	20800000	chr1_20700000_20800000	6442	5265	5605	5410	4032	4845	3852	5114	5282	6343	6728	4922	7713	5378	4959	3929
chr1	20800000	20900000	chr1_20800000_20900000	4424	2674	4278	3607	3852	4579	3482	5038	7782	9276	10581	7257	11348	8012	8616	6675
chr1	20900000	21000000	chr1_20900000_21000000	3777	2838	3413	3222	2899	3483	2988	3935	4488	5348	5902	4374	6993	4991	5358	4274
chr1	21000000	21100000	chr1_21000000_21100000	2347	1624	2271	2046	2428	2905	2241	3094	3294	3853	4371	3108	6097	4440	4744	3644
chr1	21100000	21200000	chr1_21100000_21200000	2740	2113	2464	2543	3138	3607	2956	3978	3258	3759	4217	3072	8307	5655	6283	4925
chr1	21200000	21300000	chr1_21200000_21300000	5628	4714	5083	5329	4529	5361	4485	6036	5220	6174	6788	4845	8182	5937	5685	4272
chr1	21300000	21400000	chr1_21300000_21400000	4953	3512	4660	4167	3783	4330	3560	4860	6076	7472	8205	5927	8837	6263	6229	4850
chr1	21400000	21500000	chr1_21400000_21500000	3801	2815	3572	3259	2721	3280	2707	3596	4613	5532	6004	4258	6283	4486	4563	3484
chr1	21500000	21600000	chr1_21500000_21600000	4464	3884	3987	4099	2561	3048	2499	3340	3881	4644	5073	3690	5754	4286	4163	3208
chr1	21600000	21700000	chr1_21600000_21700000	4802	3848	4327	4198	3568	4130	3407	4584	4271	5299	5536	4034	6879	5039	4622	3689
chr1	21700000	21800000	chr1_21700000_21800000	7090	5968	6441	6240	5916	6559	5695	7422	5700	7041	7230	5268	8677	6487	5416	4069
chr1	21800000	21900000	chr1_21800000_21900000	5014	3732	4547	4202	4539	5194	4205	5756	5969	7085	7784	5559	9278	6454	6349	4932
chr1	21900000	22000000	chr1_21900000_22000000	5009	3841	4528	4302	3739	4495	3435	4688	5670	6827	7454	5214	8634	6102	6135	4838
chr1	22000000	22100000	chr1_22000000_22100000	4690	3579	4283	4195	2817	3339	2746	3665	5217	6307	6862	4937	6287	4528	4543	3549
chr1	22100000	22200000	chr1_22100000_22200000	3554	2288	3564	3146	3414	4052	3175	4545	5856	7166	7929	5539	9411	6557	7208	5525
chr1	22200000	22300000	chr1_22200000_22300000	9629	8449	8269	8637	6998	7956	6747	8628	5623	6953	6990	5316	8819	6609	5283	4020
chr1	22300000	22400000	chr1_22300000_22400000	8591	7458	7576	7479	6023	6672	5764	7529	5242	6390	6578	5014	8361	6240	4558	3442
chr1	22400000	22500000	chr1_22400000_22500000	12002	10732	10424	10927	8272	9008	8005	9970	5330	6928	6993	5552	8803	6702	5229	4064
chr1	22500000	22600000	chr1_22500000_22600000	4278	3343	3897	3845	3793	4520	3643	4853	4978	5810	6563	4760	8308	5920	5775	4508
chr1	22600000	22700000	chr1_22600000_22700000	7078	5800	6134	6120	5844	6678	5482	7136	5205	6524	6540	4897	9317	6941	5393	4002
chr1	22700000	22800000	chr1_22700000_22800000	8887	8004	7819	8263	7644	8610	7508	9201	5382	6461	6803	5132	8332	6451	5378	4103
chr1	22800000	22900000	chr1_22800000_22900000	7194	5931	6345	6159	5715	6354	5312	6748	5501	6642	7006	5192	8747	6344	5615	4356
chr1	22900000	23000000	chr1_22900000_23000000	3872	2569	3699	3112	3405	3975	3001	4275	5739	6883	7605	5298	9207	6391	6663	5110
chr1	23000000	23100000	chr1_23000000_23100000	6047	4560	5497	5298	3765	4199	3621	4769	6952	8111	9047	6434	5974	4311	4091	3134
chr1	23100000	23200000	chr1_23100000_23200000	3894	2663	3700	3113	3008	3571	2733	3714	5679	6695	7435	5196	8239	5819	5949	4741
chr1	23200000	23300000	chr1_23200000_23300000	7818	6432	6724	6629	5190	5698	4862	6310	5018	6307	6445	4715	8025	6041	4513	3475
chr1	23300000	23400000	chr1_23300000_23400000	4740	3567	4183	3873	3916	4299	3487	4716	5489	6624	7185	5112	8210	6098	5789	4635
chr1	23400000	23500000	chr1_23400000_23500000	4631	3359	4490	4140	3964	4435	3873	5323	6548	7870	8937	6365	9917	7087	7788	6105
chr1	23500000	23600000	chr1_23500000_23600000	3767	2593	3686	3097	3304	3972	3098	4299	6297	7387	8159	5734	9899	6878	7472	5742
chr1	23600000	23700000	chr1_23600000_23700000	6593	5484	5933	6002	5573	6597	5248	6887	5914	7085	7862	5675	9512	6726	6363	5060
chr1	23700000	23800000	chr1_23700000_23800000	6593	5576	5841	6044	5350	6207	5132	6609	5480	6536	6923	4963	8715	6396	5734	4574
chr1	23800000	23900000	chr1_23800000_23900000	4223	2968	3860	3606	4386	4945	4312	5646	5375	6394	7061	5069	9310	6514	6590	5027
chr1	23900000	24000000	chr1_23900000_24000000	8471	7529	7282	7710	7884	8634	7563	9317	3997	4899	4879	3812	7888	6203	4268	3185
chr1	24000000	24100000	chr1_24000000_24100000	14468	13363	12233	13323	12250	13310	12890	15206	3877	5270	4909	4238	7880	6544	3712	2882
chr1	24100000	24200000	chr1_24100000_24200000	11795	10792	10108	10772	10352	11342	10574	13082	3488	4591	4291	3535	7427	6078	3472	2616
chr1	24200000	24300000	chr1_24200000_24300000	9808	9463	8657	9886	8126	9079	8389	10237	3741	4931	4743	3750	7609	6048	4216	3162
chr1	24300000	24400000	chr1_24300000_24400000	10869	9898	9566	10219	9765	10793	9795	12314	3979	5095	4835	4044	8089	6376	3489	2607
chr1	24400000	24500000	chr1_24400000_24500000	6121	5379	5420	5842	5856	6538	5965	7467	3039	3845	3847	2895	6154	4812	3169	2442
chr1	24500000	24600000	chr1_24500000_24600000	8430	7760	7279	7942	7494	8388	7753	9549	3534	4584	4396	3563	7330	5778	4014	2938
chr1	24600000	24700000	chr1_24600000_24700000	7799	6696	6711	6853	5811	6264	5368	6994	4197	5136	5138	4125	7350	5399	4265	3236
chr1	24700000	24800000	chr1_24700000_24800000	1550	1241	1491	1421	1224	1414	1232	1560	1815	2125	2418	1722	2579	1873	1990	1515
chr1	24800000	24900000	chr1_24800000_24900000	3324	2478	3237	2817	3221	3893	3086	4385	4327	5409	5627	4086	8194	5780	5701	4374
chr1	24900000	25000000	chr1_24900000_25000000	3344	2222	3302	2834	2325	2692	2181	2934	5157	5891	6646	4737	5588	3951	3934	3097
chr1	25000000	25100000	chr1_25000000_25100000	3083	2239	2826	2532	2245	2511	2044	2833	3820	4705	5054	3676	5269	3734	3971	3020
chr1	25100000	25200000	chr1_25100000_25200000	3967	3260	3541	3629	3391	3898	3287	4493	4013	4858	5255	3699	7073	4901	5142	3994
chr1	25200000	25300000	chr1_25200000_25300000	6014	4158	5480	5030	3367	3835	3243	4232	8204	9750	10823	7709	7720	5293	5533	4385
chr1	25300000	25400000	chr1_25300000_25400000	3123	2221	2990	2698	2279	2781	2235	3140	3909	4651	5250	3734	4928	3548	3579	2824
chr1	25400000	25500000	chr1_25400000_25500000	4983	3645	4891	4829	4232	4935	4613	6665	7245	8229	9492	6963	9754	7202	7465	5772
chr1	25500000	25600000	chr1_25500000_25600000	7491	5507	7097	6665	4829	5838	4607	6351	10375	12263	13491	9697	12029	8668	9009	6938
chr1	25600000	25700000	chr1_25600000_25700000	15666	14160	13085	14215	10081	10975	9968	12201	4693	6290	5708	4883	8419	6792	4439	3248
chr1	25700000	25800000	chr1_25700000_25800000	15158	13894	13347	14376	10331	11303	10476	12865	5529	7167	6866	5473	8410	6609	3901	2978
chr1	25800000	25900000	chr1_25800000_25900000	12462	11902	10843	11763	6764	7682	6952	8305	3698	5120	4524	3885	4970	3943	2532	1846
chr1	25900000	26000000	chr1_25900000_26000000	3551	2850	3227	3288	4161	4813	3852	5499	3357	4108	4461	3258	9221	6704	6465	4823
chr1	26000000	26100000	chr1_26000000_26100000	1938	1410	1760	1601	2051	2383	1860	2514	2279	2696	2914	2115	5364	3782	3775	2884
chr1	26100000	26200000	chr1_26100000_26200000	2528	2188	2375	2462	1700	2014	1743	2272	2026	2430	2598	1945	3201	2317	2408	1901
chr1	26200000	26300000	chr1_26200000_26300000	3121	2327	2919	2765	3020	3482	2807	3864	3729	4491	4733	3464	6251	4515	4656	3626
chr1	26300000	26400000	chr1_26300000_26400000	3021	2422	2833	2910	2795	3253	2627	3712	3846	4385	4763	3583	6109	4339	4757	3726
chr1	26400000	26500000	chr1_26400000_26500000	2473	1754	2267	2022	2493	3069	2164	3016	3513	4187	4635	3207	7228	5040	5464	4295
chr1	26500000	26600000	chr1_26500000_26600000	2487	1683	2306	1989	2074	2409	1965	2672	3617	4229	4637	3239	5467	3785	3958	3114
chr1	26600000	26700000	chr1_26600000_26700000	2523	1825	2306	2142	4738	5560	4023	5928	3054	3503	3981	2810	13652	9529	10209	7947
chr1	26700000	26800000	chr1_26700000_26800000	3906	3284	3271	3577	6026	6953	5717	7602	3555	4305	4441	3244	12885	9318	9378	7350
chr1	26800000	26900000	chr1_26800000_26900000	3491	2581	3459	2956	3960	4764	3343	4784	5112	5948	6522	4864	10969	7976	8420	6778
chr1	26900000	27000000	chr1_26900000_27000000	3790	2524	3640	3198	5164	6208	4720	6268	5788	6618	7381	5320	14179	9932	10482	8192
chr1	27000000	27100000	chr1_27000000_27100000	4258	3209	4025	3846	4037	4927	3808	5184	5229	6286	6952	4919	10824	7908	8370	6492
chr1	27100000	27200000	chr1_27100000_27200000	4084	2803	4009	3529	4819	5463	4558	6299	6383	7411	8091	5849	12128	8693	8815	7114
chr1	27200000	27300000	chr1_27200000_27300000	3549	2405	3560	3078	2877	3524	2537	3613	6514	7680	8253	5750	8860	5949	6607	5046
chr1	27300000	27400000	chr1_27300000_27400000	3831	2800	3678	3482	3722	4363	3292	4607	5377	6439	7028	4906	8711	6275	6269	4895
chr1	27400000	27500000	chr1_27400000_27500000	2551	1584	2554	2148	2648	3037	2406	3516	4476	5197	5816	4044	7423	5285	5485	4381
chr1	27500000	27600000	chr1_27500000_27600000	2533	1651	2458	2076	3064	3493	2730	3848	4154	4944	5466	3724	9021	6355	6985	5396
chr1	27600000	27700000	chr1_27600000_27700000	2913	1959	2752	2474	2317	2782	2229	3139	4353	5011	5664	3846	6571	4673	4989	3806
chr1	27700000	27800000	chr1_27700000_27800000	3872	2831	3687	3315	3222	3724	3084	4186	5687	6474	7372	5243	7499	5436	5572	4282
chr1	27800000	27900000	chr1_27800000_27900000	3340	2161	3004	2717	2804	3357	2617	3668	5061	5931	6866	4805	7302	5244	5665	4323
chr1	27900000	28000000	chr1_27900000_28000000	5266	4216	4754	4608	4903	5723	4780	6214	5911	6865	7476	5418	8208	6007	5609	4392
chr1	28000000	28100000	chr1_28000000_28100000	10106	9042	8890	9598	8297	9100	8725	10778	4686	6107	6062	4659	7069	5674	3562	2666
chr1	28100000	28200000	chr1_28100000_28200000	9452	8141	8144	8398	6837	7340	6794	8621	5228	6769	6706	5136	6437	4919	2980	2152
chr1	28200000	28300000	chr1_28200000_28300000	17078	16075	14032	16043	10358	11342	10279	12399	4599	6006	5706	4741	6131	4992	2693	1952
chr1	28300000	28400000	chr1_28300000_28400000	5136	4181	4657	4408	5072	5618	5161	6472	4200	4979	5487	4149	6605	5014	4181	3130
chr1	28400000	28500000	chr1_28400000_28500000	5629	3824	5491	4872	3296	3782	3263	4439	7835	9239	10531	7418	7911	5576	5584	4453
chr1	28500000	28600000	chr1_28500000_28600000	3950	2393	3738	3146	2676	3190	2493	3572	7032	8115	9277	6471	8147	5764	6216	4891
chr1	28600000	28700000	chr1_28600000_28700000	6279	5014	5504	5564	7450	8061	7479	9440	5246	6267	6590	4758	8069	6202	4100	3056
chr1	28700000	28800000	chr1_28700000_28800000	7903	6702	6903	6957	10844	11581	11254	13485	5145	6299	6755	5006	7645	6387	3781	2777
chr1	28800000	28900000	chr1_28800000_28900000	7918	7236	6774	7251	11013	12025	10864	13025	2583	3405	3083	2509	7440	6261	3659	2686
chr1	28900000	29000000	chr1_28900000_29000000	9822	8188	9543	9081	9059	10055	9550	12643	9320	11210	12021	8795	17332	12553	10824	8357
chr1	29000000	29100000	chr1_29000000_29100000	3746	2195	3559	3149	3789	4621	3356	4845	6798	8041	8958	6181	12120	8505	9548	7347
chr1	29100000	29200000	chr1_29100000_29200000	3658	3055	3197	3223	2839	3300	2454	3592	2620	3177	3340	2391	7029	5206	5150	3920
chr1	29200000	29300000	chr1_29200000_29300000	10247	9413	8878	9531	6950	7658	6973	8648	3908	5023	4901	3934	7392	5751	4304	3356
chr1	29300000	29400000	chr1_29300000_29400000	11042	9837	9438	9763	7366	8141	7580	9425	4241	5658	5472	4498	7451	5617	3924	2932
chr1	29400000	29500000	chr1_29400000_29500000	11016	9731	9434	10125	7629	8380	7574	9444	4839	6324	6242	4932	8118	6296	4411	3511
chr1	29500000	29600000	chr1_29500000_29600000	12830	11015	12321	12484	9250	10304	9957	12585	9325	11192	11044	8585	12447	9567	7123	5401
chr1	29600000	29700000	chr1_29600000_29700000	8116	7735	7372	8339	6896	8394	6668	8737	6789	7990	8470	5988	11401	8208	7210	5619
chr1	29700000	29800000	chr1_29700000_29800000	7758	7208	6849	7370	5893	6812	5899	7401	5501	6805	7328	5347	8634	6260	5987	4677
chr1	29800000	29900000	chr1_29800000_29900000	4796	3594	4488	4165	4131	4850	4051	5623	5542	6583	7389	5423	9123	6521	6869	5427
chr1	29900000	30000000	chr1_29900000_30000000	5387	4495	4729	4704	3800	4405	3533	4745	4764	5629	6016	4358	7339	5347	4797	3854
chr1	30000000	30100000	chr1_30000000_30100000	8667	7728	7676	8141	6464	7204	6403	8199	5941	7306	7595	5518	9096	6569	5686	4396
chr1	30100000	30200000	chr1_30100000_30200000	11337	9570	10970	10819	9015	9976	8997	11428	10696	12615	13867	10592	15962	12367	12184	9898
chr1	30200000	30300000	chr1_30200000_30300000	12316	11581	10620	11278	6491	7285	6200	7749	4649	5883	5856	4679	6662	5200	3578	2881
chr1	30300000	30400000	chr1_30300000_30400000	6035	4460	5164	4865	4394	5085	4112	5664	6152	7296	8008	5665	9470	6862	6792	5336
chr1	30400000	30500000	chr1_30400000_30500000	10940	9862	9546	10050	7499	8553	7322	9105	5798	7017	7399	5569	8932	6801	5944	4473
chr1	30500000	30600000	chr1_30500000_30600000	15476	14956	13034	14778	10772	11999	11074	13461	3921	5402	5048	4143	7185	5926	3525	2647
chr1	30600000	30700000	chr1_30600000_30700000	10944	10101	9695	10460	8485	9160	8855	10861	5062	6417	6406	4910	8501	6545	4544	3403
chr1	30700000	30800000	chr1_30700000_30800000	4493	3277	4285	3828	3832	4468	3578	4953	5842	6954	7548	5296	9190	6393	6772	5143
chr1	30800000	30900000	chr1_30800000_30900000	6382	5006	5619	5252	4939	5572	4898	6400	5457	6729	7310	5182	8849	6380	5597	4199
chr1	30900000	31000000	chr1_30900000_31000000	6694	5162	5873	5518	4438	5046	4096	5395	5417	6605	6899	4999	8193	6004	4936	3920
chr1	31000000	31100000	chr1_31000000_31100000	6099	5155	5444	5677	4713	5581	4347	5779	5734	6828	7283	5176	8549	6147	5837	4365
chr1	31100000	31200000	chr1_31100000_31200000	8564	7414	7539	7565	5983	6522	5637	7168	5196	6341	6263	4796	7992	6075	4545	3310
chr1	31200000	31300000	chr1_31200000_31300000	6294	5107	5556	5489	4630	5196	4453	5752	5304	6358	6865	5021	7423	5373	5068	3988
chr1	31300000	31400000	chr1_31300000_31400000	3870	3222	3620	3509	2703	3151	2585	3596	4024	4643	5165	3628	5306	3776	3762	3041
chr1	31400000	31500000	chr1_31400000_31500000	5553	4307	5041	4798	3448	3995	3316	4392	5602	6658	7112	4997	7708	5577	5248	3889
chr1	31500000	31600000	chr1_31500000_31600000	8950	7501	7894	7923	6458	7438	6193	8007	6334	7780	8035	5872	9834	7274	5990	4628
chr1	31600000	31700000	chr1_31600000_31700000	5300	3938	4844	4589	4189	4866	4067	5608	6060	7235	7951	5746	9339	6619	6717	5178
chr1	31700000	31800000	chr1_31700000_31800000	2391	1932	2246	2216	1690	1971	1636	2282	2654	3102	3480	2374	3181	2203	2176	1736
chr1	31800000	31900000	chr1_31800000_31900000	4637	3045	4538	3832	2495	2883	2256	3189	7714	9046	10162	7253	6097	4346	4636	3701
chr1	31900000	32000000	chr1_31900000_32000000	6368	5514	5714	5906	5123	5729	4977	6434	5207	6239	6431	4833	7888	5621	4741	3780
chr1	32000000	32100000	chr1_32000000_32100000	5489	4566	5043	4846	4842	5347	4805	6337	5323	6216	6722	4835	8979	6333	5648	4327
chr1	32100000	32200000	chr1_32100000_32200000	6047	4687	5391	5191	4321	5007	4379	6011	5744	7055	7568	5409	9219	6547	6205	4735
chr1	32200000	32300000	chr1_32200000_32300000	8045	6698	7147	6939	5625	6454	5563	7321	5569	6751	6907	5382	8560	6286	5203	3914
chr1	32300000	32400000	chr1_32300000_32400000	3963	2558	3628	3184	3391	3961	2861	4209	6074	7153	7984	5441	9004	6458	6706	5189
chr1	32400000	32500000	chr1_32400000_32500000	3359	2098	3290	2783	2409	2987	2105	2951	6250	7160	8140	5700	7670	5397	5665	4468
chr1	32500000	32600000	chr1_32500000_32600000	5003	3958	4544	4537	4159	4780	4078	5380	5210	6267	6906	4858	8327	5867	5742	4429
chr1	32600000	32700000	chr1_32600000_32700000	3271	2074	3103	2784	3043	3561	2934	4129	5104	6157	6986	4870	8871	6164	6842	5395
chr1	32700000	32800000	chr1_32700000_32800000	2315	1321	2356	1897	2338	2776	2162	3078	4750	5562	6128	4262	7552	5231	5795	4513
chr1	32800000	32900000	chr1_32800000_32900000	4700	3401	4390	4097	3945	4481	3761	5171	5620	6782	7611	5368	8880	6395	6637	5024
chr1	32900000	33000000	chr1_32900000_33000000	4025	3081	3732	3462	3297	3866	3202	4345	4360	5230	5597	4187	6816	4846	4903	3643
chr1	33000000	33100000	chr1_33000000_33100000	4730	3528	4301	3910	3777	4262	3770	5046	5219	6184	6854	4881	8119	5682	5747	4372
chr1	33100000	33200000	chr1_33100000_33200000	4375	3515	3931	3876	3338	3783	3156	4304	4354	5324	5676	4129	6968	4897	4802	3670
chr1	33200000	33300000	chr1_33200000_33300000	2524	1550	2451	1942	2215	2693	1910	2823	4683	5606	6307	4399	6860	4886	5218	4031
chr1	33300000	33400000	chr1_33300000_33400000	5583	4405	5154	4959	4317	4791	4119	5476	5676	6694	7214	5251	8966	6501	6168	4720
chr1	33400000	33500000	chr1_33400000_33500000	5812	4868	5278	5333	4527	5127	4259	5876	4731	5599	6129	4469	8800	6339	6295	4856
chr1	33500000	33600000	chr1_33500000_33600000	2685	2060	2512	2306	1880	2282	1662	2349	3349	4011	4380	3110	4416	3037	3119	2564
chr1	33600000	33700000	chr1_33600000_33700000	1896	1448	1828	1678	1703	1999	1650	2246	2594	3103	3448	2489	4176	3058	3313	2631
chr1	33700000	33800000	chr1_33700000_33800000	2835	2102	2707	2580	2538	2901	2503	3452	4081	4783	5527	3897	6562	4650	5429	4350
chr1	33800000	33900000	chr1_33800000_33900000	2700	2041	2386	2323	3028	3508	2754	3731	3108	3580	3920	2876	6401	4597	4563	3670
chr1	33900000	34000000	chr1_33900000_34000000	3215	2129	2941	2544	2577	2979	2330	3388	4708	5693	6270	4294	6346	4617	4899	3696
chr1	34000000	34100000	chr1_34000000_34100000	8877	7641	7740	7933	5990	6920	5795	7421	6490	7773	8166	6023	9950	7318	6805	5252
chr1	34100000	34200000	chr1_34100000_34200000	9836	8252	8197	8312	6601	7106	6455	8165	5426	6655	6637	4993	8616	6433	4981	3713
chr1	34200000	34300000	chr1_34200000_34300000	4498	3149	4208	3766	3730	4317	3517	4850	6227	7148	8080	5591	9635	6639	7205	5639
chr1	34300000	34400000	chr1_34300000_34400000	4294	3406	4094	3750	3992	4501	3880	5229	5137	5949	6543	4726	8562	6094	6143	4726
chr1	34400000	34500000	chr1_34400000_34500000	4081	2815	3836	3428	5346	6080	4873	6853	5798	6767	7477	5289	14067	10185	10984	8645
chr1	34500000	34600000	chr1_34500000_34600000	2582	2170	2540	2401	2356	2616	2454	3214	2878	3448	3809	2682	4671	3349	3351	2539
chr1	34600000	34700000	chr1_34600000_34700000	4757	4024	4226	4327	4354	4806	4306	5849	3446	4417	4529	3320	7691	5612	5018	3901
chr1	34700000	34800000	chr1_34700000_34800000	6596	5480	5909	5759	5253	5951	5092	6533	5737	6666	7248	5275	8933	6437	5836	4503
chr1	34800000	34900000	chr1_34800000_34900000	6658	5514	5789	5753	4695	5463	4459	5893	5239	6497	6472	4820	8012	5838	4992	3739
chr1	34900000	35000000	chr1_34900000_35000000	3360	2426	3132	2901	2880	3408	2764	3808	4600	5415	5996	4284	7175	5102	5465	4145
chr1	35000000	35100000	chr1_35000000_35100000	3118	2328	3061	2744	3212	3737	3138	4369	4770	5542	6412	4489	8146	5909	6389	4869
chr1	35100000	35200000	chr1_35100000_35200000	3245	1790	3126	2437	2969	3500	2597	3771	6351	7272	8337	5643	9665	6746	7348	5700
chr1	35200000	35300000	chr1_35200000_35300000	3630	2347	3563	2966	3294	3917	3146	4435	6095	7178	7981	5556	9615	6668	7154	5574
chr1	35300000	35400000	chr1_35300000_35400000	6068	4743	5556	5174	4616	5371	4641	6186	5785	6722	7310	5411	9033	6521	6100	4638
chr1	35400000	35500000	chr1_35400000_35500000	4051	2780	4137	3391	3708	4245	3726	5145	5878	6971	7804	5681	9200	6340	6909	5306
chr1	35500000	35600000	chr1_35500000_35600000	6292	5118	5687	5321	4865	5381	4758	6324	5745	7039	7193	5253	8884	6391	5889	4618
chr1	35600000	35700000	chr1_35600000_35700000	4719	3491	4445	4000	3684	4218	3449	4886	5921	6969	7797	5524	8310	5829	5723	4395
chr1	35700000	35800000	chr1_35700000_35800000	3902	2875	3552	3498	3392	3968	3265	4421	5259	5892	6726	4815	7595	5444	5899	4562
chr1	35800000	35900000	chr1_35800000_35900000	10561	6580	11262	9363	8308	9728	8163	11296	17546	19274	21232	16381	20773	15699	15936	13000
chr1	35900000	36000000	chr1_35900000_36000000	5492	4061	5140	4832	4231	5047	4097	5629	6702	8026	8531	6121	10760	7540	7161	5706
chr1	36000000	36100000	chr1_36000000_36100000	5689	4558	5202	4837	4600	4991	4332	5751	4985	6030	6225	4595	8323	6020	5351	4044
chr1	36100000	36200000	chr1_36100000_36200000	3359	2100	3384	2791	3198	3916	2944	4257	6449	7447	8639	5982	10079	7005	7633	5884
chr1	36200000	36300000	chr1_36200000_36300000	4525	3242	4298	3731	3500	3991	3121	4554	5766	6708	7492	5255	9050	6409	6543	4888
chr1	36300000	36400000	chr1_36300000_36400000	2914	1763	2966	2439	2696	3257	2625	3872	5730	6593	7433	5236	8719	5994	6581	5123
chr1	36400000	36500000	chr1_36400000_36500000	3861	3045	3460	3424	3058	3468	3040	4144	3653	4453	4408	3180	6036	4245	3538	2780
chr1	36500000	36600000	chr1_36500000_36600000	5717	4702	5125	4994	4281	4805	4044	5312	4926	5606	5997	4374	7208	5270	4702	3703
chr1	36600000	36700000	chr1_36600000_36700000	4105	3440	3697	3670	2860	3238	2894	3781	3121	3837	4026	2981	4798	3457	3057	2469
chr1	36700000	36800000	chr1_36700000_36800000	6810	5565	6031	5912	4993	5550	4914	6537	5466	6603	6868	5112	8520	6132	5074	3711
chr1	36800000	36900000	chr1_36800000_36900000	3818	2494	3653	3222	3388	3823	3206	4555	6219	7191	8154	5661	9159	6625	6833	5328
chr1	36900000	37000000	chr1_36900000_37000000	3895	2518	3828	3259	3346	3916	3198	4468	6364	7339	8547	5895	9262	6549	7430	5735
chr1	37000000	37100000	chr1_37000000_37100000	2940	1709	2891	2394	2761	3318	2471	3635	5926	6593	7896	5439	8775	6273	6751	5243
