# Program:featureCounts v1.6.3; Command:"/work/02260/grovesd/stampede2/subread-1.6.3-source/bin/featureCounts" "-a" "/work/02260/grovesd/lonestar/Amil_Zach_Fullers_v2.00/Amil.coding.gff3" "-t" "gene" "-g" "ID" "-o" "rnaseq_gene_counts_DEDUPPED.txt" "-T" "64" "--primary" "L5-S1_S216_dupsRemoved.bam" "L5-S2_S217_dupsRemoved.bam" "L5-S3_S218_dupsRemoved.bam" "L5-T1_S222_dupsRemoved.bam" "L5-T2_S223_dupsRemoved.bam" "L5-T3_S224_dupsRemoved.bam" "N12-S1_S219_dupsRemoved.bam" "N12-S2_S220_dupsRemoved.bam" "N12-S3_S221_dupsRemoved.bam" "N12-T1_S225_dupsRemoved.bam" "N12-T2_S226_dupsRemoved.bam" "N12-T3_S227_dupsRemoved.bam" 
Geneid	Chr	Start	End	Strand	Length	L5-S1_S216_dupsRemoved.bam	L5-S2_S217_dupsRemoved.bam	L5-S3_S218_dupsRemoved.bam	L5-T1_S222_dupsRemoved.bam	L5-T2_S223_dupsRemoved.bam	L5-T3_S224_dupsRemoved.bam	N12-S1_S219_dupsRemoved.bam	N12-S2_S220_dupsRemoved.bam	N12-S3_S221_dupsRemoved.bam	N12-T1_S225_dupsRemoved.bam	N12-T2_S226_dupsRemoved.bam	N12-T3_S227_dupsRemoved.bam
Amillepora25743	chr14	10074206	10075967	+	1762	8	5	4	4	2	4	4	9	3	12	10	10
Amillepora25737	chr14	10007302	10010002	+	2701	28	18	21	31	31	35	21	24	16	21	21	26
Amillepora25732	chr14	9945801	9952799	+	6999	156	112	130	130	155	167	121	128	99	111	108	116
Amillepora25734	chr14	9960584	9980640	+	20057	58	60	43	51	74	97	46	45	30	33	40	45
Amillepora25744	chr14	10077084	10082478	+	5395	4	2	2	1	6	5	1	5	3	2	1	1
Amillepora25736	chr14	9994587	9997643	+	3057	1	1	1	1	2	1	6	8	4	6	7	3
Amillepora25738	chr14	10012016	10024908	+	12893	67	47	57	58	58	88	65	54	54	55	53	60
Amillepora25730	chr14	9940585	9942857	+	2273	5	2	8	9	6	6	5	5	4	3	5	11
Amillepora25740	chr14	10049156	10054891	-	5736	11	6	7	12	14	20	11	9	15	13	18	14
Amillepora25741	chr14	10063688	10067592	-	3905	26	24	30	43	26	40	47	32	23	50	39	27
Amillepora25746	chr14	10093297	10109665	+	16369	92	65	46	80	92	113	73	80	56	74	74	89
Amillepora25749	chr14	10137278	10146360	+	9083	18	12	16	19	14	21	23	19	26	22	32	20
Amillepora25754	chr14	10156093	10170309	+	14217	27	20	29	32	31	41	36	30	32	33	39	42
Amillepora25747	chr14	10112028	10136073	+	24046	174	136	133	155	155	220	205	200	159	214	182	201
Amillepora25745	chr14	10084148	10090775	+	6628	10	6	5	9	6	9	8	5	6	8	4	6
Amillepora25753	chr14	10153521	10153967	+	447	2	1	1	1	2	1	2	1	1	1	2	0
Amillepora25755	chr14	10184848	10198047	-	13200	63	39	36	49	56	58	37	46	19	17	32	20
Amillepora25759	chr14	10246683	10247410	-	728	24	8	13	30	29	27	20	20	22	29	27	24
Amillepora25756	chr14	10209227	10219371	-	10145	33	32	23	45	36	38	19	22	14	20	16	32
Amillepora25760	chr14	10266676	10275945	-	9270	50	30	50	57	51	61	43	53	27	45	30	37
Amillepora25766	chr14	10320749	10322161	+	1413	3	1	0	1	3	0	11	11	8	13	7	8
Amillepora25762	chr14	10276658	10289438	+	12781	46	24	27	34	29	44	29	39	28	26	37	24
Amillepora25768	chr14	10358318	10377479	+	19162	165	130	138	184	193	186	151	175	165	159	177	160
Amillepora25763	chr14	10290206	10293028	-	2823	41	30	34	39	31	68	44	34	26	30	35	38
Amillepora25767	chr14	10326999	10358397	-	31399	59	53	43	77	82	67	59	57	38	55	60	65
Amillepora25764	chr14	10305355	10315209	-	9855	16	11	10	15	10	12	10	8	11	9	12	14
Amillepora25769	chr14	10378318	10380507	-	2190	0	0	0	0	0	1	0	1	0	1	1	0
Amillepora25776	chr14	10444225	10448228	+	4004	1	0	1	1	1	0	0	0	0	0	0	1
Amillepora25778	chr14	10483510	10487848	+	4339	0	1	0	2	2	0	1	0	1	1	0	1
Amillepora25773	chr14	10426635	10437407	+	10773	15	11	11	29	32	19	20	29	16	22	23	27
Amillepora25770	chr14	10388833	10401170	-	12338	9	9	6	6	16	20	11	24	15	17	31	18
Amillepora25774	chr14	10430658	10432205	-	1548	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25772	chr14	10417050	10427042	-	9993	60	46	38	52	59	81	66	92	74	83	98	83
Amillepora25775	chr14	10435961	10442815	-	6855	7	2	4	7	5	7	1	4	7	6	7	4
Amillepora25780	chr14	10563137	10566613	+	3477	0	0	2	0	4	3	1	1	1	1	1	2
Amillepora25782	chr14	10579457	10581316	+	1860	0	1	2	4	1	8	2	4	0	1	1	2
Amillepora25779	chr14	10537725	10539512	-	1788	1	0	1	1	0	1	0	1	0	0	0	1
Amillepora25781	chr14	10568887	10574985	+	6099	7	3	0	6	2	3	5	6	3	2	4	9
Amillepora25786	chr14	10597287	10600731	+	3445	1	0	1	1	3	3	2	1	0	2	0	1
Amillepora25788	chr14	10654289	10656997	+	2709	0	0	0	0	1	0	0	0	0	0	0	0
Amillepora25785	chr14	10593909	10597163	+	3255	0	0	0	0	0	1	0	0	0	0	0	0
Amillepora25789	chr14	10666317	10672376	-	6060	14	18	20	21	28	50	11	13	11	13	16	13
Amillepora25787	chr14	10608662	10619353	-	10692	2	2	3	2	6	8	4	3	7	4	2	6
Amillepora25784	chr14	10592798	10593888	+	1091	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25783	chr14	10592383	10592790	+	408	0	0	0	0	0	1	0	0	0	0	0	0
Amillepora25793	chr14	10713696	10727189	+	13494	2	1	1	2	5	3	0	3	5	5	3	4
Amillepora25790	chr14	10672671	10675725	+	3055	2	1	0	2	2	4	0	2	2	2	3	1
Amillepora25795	chr14	10730126	10739171	+	9046	21	23	16	20	29	30	13	11	20	11	21	13
Amillepora25794	chr14	10720208	10721942	-	1735	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25796	chr14	10738158	10739819	-	1662	4	0	3	1	0	1	0	0	0	1	0	0
Amillepora25791	chr14	10674210	10703656	-	29447	20	12	14	30	32	35	22	29	28	36	32	27
Amillepora25807	chr14	10854252	10857770	+	3519	1	1	2	3	0	1	1	5	5	5	3	2
Amillepora25804	chr14	10818752	10822354	+	3603	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25798	chr14	10771589	10772230	+	642	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25802	chr14	10797612	10805887	+	8276	9	8	7	11	13	10	8	9	7	3	9	11
Amillepora25797	chr14	10762995	10770538	+	7544	2	0	0	3	4	7	0	0	1	1	0	0
Amillepora25808	chr14	10858053	10873805	+	15753	20	22	16	25	29	27	13	22	13	16	24	14
Amillepora25799	chr14	10774582	10776236	+	1655	14	14	14	21	20	14	14	19	16	14	21	11
Amillepora25801	chr14	10794539	10796952	+	2414	0	0	1	0	0	1	0	0	0	0	1	0
Amillepora25800	chr14	10779448	10790446	+	10999	2	2	4	5	7	1	10	2	3	10	4	6
Amillepora25803	chr14	10808362	10823487	-	15126	15	8	7	11	19	14	8	15	9	8	13	6
Amillepora25806	chr14	10844769	10845766	-	998	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora25805	chr14	10823679	10827634	-	3956	5	1	2	4	5	2	3	4	3	3	4	5
Amillepora25810	chr14	10920347	10926176	+	5830	3	0	1	0	4	3	0	1	1	3	4	1
Amillepora25815	chr14	10975546	10981544	+	5999	37	33	29	32	33	52	35	34	33	36	44	32
Amillepora25811	chr14	10946767	10949691	+	2925	41	34	29	34	60	63	13	22	19	14	17	24
Amillepora25812	chr14	10951092	10951725	+	634	1	0	1	3	2	4	0	0	0	1	0	0
Amillepora25818	chr14	11030269	11036203	+	5935	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25817	chr14	11028647	11029240	+	594	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25820	chr14	11104420	11105793	+	1374	2	2	3	3	1	0	4	2	3	1	4	6
Amillepora25824	chr14	11173196	11175304	-	2109	1	0	0	0	1	0	0	0	0	1	0	0
Amillepora25823	chr14	11172455	11173165	-	711	0	0	0	0	1	0	0	0	0	0	0	0
Amillepora25816	chr14	11020274	11095139	-	74866	58	42	53	82	91	76	44	80	64	66	83	85
Amillepora25821	chr14	11111943	11112515	-	573	2	0	1	2	0	0	1	1	1	1	1	0
Amillepora25825	chr14	11201473	11205480	+	4008	1	0	0	0	2	0	1	1	1	1	1	1
Amillepora25828	chr14	11253000	11254703	+	1704	4	0	4	4	0	0	9	8	5	7	7	5
Amillepora25829	chr14	11257082	11276523	-	19442	1131	891	863	1204	1228	970	118	118	147	135	102	118
Amillepora25827	chr14	11222609	11227668	-	5060	44	39	37	42	51	55	41	42	26	38	35	40
Amillepora25826	chr14	11210081	11214203	+	4123	12	5	18	17	15	12	7	6	9	5	7	6
Amillepora25830	chr14	11298506	11314227	+	15722	409	336	345	433	451	461	136	102	115	107	87	100
Amillepora25832	chr14	11322520	11323029	+	510	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25838	chr14	11361057	11380256	-	19200	25	28	12	27	54	37	22	23	23	26	43	28
Amillepora25834	chr14	11337524	11339773	-	2250	1	2	2	2	3	1	4	3	2	1	1	1
Amillepora25837	chr14	11357324	11360351	-	3028	0	0	0	0	2	0	3	1	0	2	2	4
Amillepora25839	chr14	11419856	11425093	+	5238	2	0	1	3	3	0	0	3	1	4	6	3
Amillepora25840	chr14	11428408	11430331	+	1924	0	0	0	1	1	0	0	0	0	1	0	0
Amillepora25847	chr14	11560996	11562374	-	1379	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora25845	chr14	11541038	11556422	-	15385	39	23	29	28	32	41	11	16	11	22	22	14
Amillepora25848	chr14	11571120	11592873	+	21754	60	49	48	63	65	60	67	64	43	77	69	80
Amillepora25850	chr14	11648525	11668998	+	20474	36	29	26	38	49	46	49	57	46	47	69	52
Amillepora25849	chr14	11604562	11608392	-	3831	17	14	12	22	23	13	0	0	0	0	0	0
Amillepora25861	chr14	11683539	11688672	-	5134	1	0	0	0	0	0	0	1	0	0	0	0
Amillepora25862	chr14	11695007	11702371	+	7365	6	2	0	1	2	6	2	8	2	0	6	5
Amillepora25863	chr14	11717888	11726865	-	8978	76	49	48	62	51	101	39	26	14	25	30	36
Amillepora25867	chr14	11767432	11780833	-	13402	18	16	19	22	26	18	11	8	16	15	13	13
Amillepora25865	chr14	11750035	11758829	-	8795	6	7	7	8	7	7	10	10	11	6	6	15
Amillepora25870	chr14	11826200	11838621	+	12422	60	50	37	53	56	50	34	44	33	47	33	35
Amillepora25871	chr14	11939254	11939964	-	711	0	0	0	1	1	0	0	0	0	0	0	0
Amillepora25875	chr14	11968874	11970513	-	1640	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25873	chr14	11957912	11968825	-	10914	1	0	0	3	0	3	1	4	1	2	3	2
Amillepora25872	chr14	11952785	11956266	-	3482	3	0	4	6	4	1	0	0	0	0	3	2
Amillepora25874	chr14	11960622	11991802	+	31181	3	1	5	4	5	5	13	7	2	6	10	8
Amillepora25878	chr14	12035604	12037055	-	1452	0	0	0	0	0	0	1	1	2	3	0	0
Amillepora25880	chr14	12037782	12038929	-	1148	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25881	chr14	12042110	12042733	-	624	0	0	0	0	0	0	1	1	0	0	1	1
Amillepora25879	chr14	12037250	12037747	-	498	0	0	0	0	0	0	0	0	0	0	0	1
Amillepora25882	chr14	12042918	12043154	-	237	0	0	0	0	0	0	0	1	0	1	0	0
Amillepora25877	chr14	11998003	12001449	-	3447	4	1	2	2	4	4	2	1	2	1	2	1
Amillepora25876	chr14	11979694	11993705	-	14012	0	0	0	1	0	0	0	0	0	1	3	1
Amillepora25885	chr14	12057342	12060885	-	3544	5	5	5	6	10	7	1	3	3	1	1	4
Amillepora25886	chr14	12071045	12074743	-	3699	1	0	1	2	1	0	0	2	0	0	2	2
Amillepora25887	chr14	12074765	12075883	-	1119	0	0	0	0	1	1	1	0	0	1	0	1
Amillepora25888	chr14	12082268	12093527	+	11260	9	4	2	5	8	3	2	3	2	1	2	3
Amillepora25892	chr14	12133568	12138989	+	5422	0	2	4	4	1	3	13	15	15	17	24	17
Amillepora25893	chr14	12139405	12142852	-	3448	2	2	0	2	3	3	3	7	1	3	6	8
Amillepora25891	chr14	12125093	12126620	-	1528	5	3	2	4	5	3	2	3	5	3	6	3
Amillepora25889	chr14	12096548	12114577	-	18030	40	19	21	29	28	36	11	21	7	15	22	14
Amillepora25894	chr14	12164889	12171566	-	6678	1	0	2	1	2	9	0	1	2	0	3	4
Amillepora25898	chr14	12236878	12239681	+	2804	3	2	3	2	5	7	4	4	3	5	4	2
Amillepora25895	chr14	12167152	12168898	+	1747	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25896	chr14	12178713	12179223	-	511	2	2	0	0	1	3	1	0	0	0	0	3
Amillepora25897	chr14	12199086	12203990	-	4905	1	0	1	3	2	5	0	0	0	0	1	0
Amillepora25902	chr14	12285338	12291848	+	6511	3	3	0	1	3	3	1	3	0	1	4	1
Amillepora25905	chr14	12319776	12345287	+	25512	71	58	46	55	87	72	31	44	27	40	51	27
Amillepora25907	chr14	12342929	12344934	-	2006	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25903	chr14	12287898	12289826	-	1929	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25908	chr14	12346302	12346786	+	485	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25910	chr14	12378845	12380488	+	1644	3	2	5	3	8	10	3	4	4	4	11	4
Amillepora25911	chr14	12380595	12381633	+	1039	0	0	3	1	2	2	1	3	0	2	2	2
Amillepora25914	chr14	12424246	12425306	+	1061	2	1	0	1	0	1	0	2	2	1	0	0
Amillepora25917	chr14	12462256	12463419	-	1164	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora25916	chr14	12451949	12453039	-	1091	0	0	0	0	0	0	0	0	0	0	2	1
Amillepora25912	chr14	12398450	12399798	-	1349	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25913	chr14	12399825	12400961	-	1137	0	0	0	1	0	0	0	0	0	0	0	0
Amillepora25915	chr14	12451097	12451816	-	720	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25918	chr14	12485570	12490349	+	4780	1	0	0	3	2	0	0	3	0	2	2	2
Amillepora25919	chr14	12530192	12532008	+	1817	0	0	0	0	0	0	2	3	3	1	1	0
Amillepora25920	chr14	12532634	12533852	-	1219	0	0	0	1	1	0	0	1	0	1	1	0
Amillepora25926	chr14	12679622	12682933	+	3312	1	0	0	0	2	2	6	10	11	9	8	5
Amillepora25924	chr14	12658476	12661484	+	3009	8	5	7	9	9	4	74	82	62	59	66	64
Amillepora25923	chr14	12646317	12647479	-	1163	6	2	1	4	3	2	1	1	2	1	0	0
Amillepora25928	chr14	12741586	12741813	-	228	0	1	2	1	1	1	0	0	0	2	2	2
Amillepora25925	chr14	12676089	12677272	-	1184	3	0	3	3	2	2	8	7	11	11	11	13
Amillepora25929	chr14	12764894	12772143	-	7250	10	10	8	11	19	11	22	25	21	18	21	29
Amillepora25927	chr14	12718577	12719289	-	713	0	0	0	0	0	0	1	0	0	0	0	0
Amillepora25936	chr14	12860948	12869447	+	8500	242	166	213	274	272	287	230	280	224	256	260	278
Amillepora25933	chr14	12817789	12829669	+	11881	35	22	43	32	33	67	32	42	23	36	28	31
Amillepora25932	chr14	12802076	12814673	+	12598	75	39	62	67	66	79	77	56	64	64	50	66
Amillepora25931	chr14	12796611	12801911	-	5301	11	13	21	21	8	14	11	6	12	15	7	15
Amillepora25935	chr14	12837577	12840118	-	2542	0	0	0	0	0	0	0	0	0	0	1	1
Amillepora25930	chr14	12787835	12792113	-	4279	37	23	29	34	23	38	37	46	39	58	43	50
Amillepora25937	chr14	12878438	12895334	+	16897	8	9	9	9	12	19	9	4	7	13	12	12
Amillepora25940	chr14	12938044	12946881	-	8838	30	19	19	32	22	47	50	45	38	39	41	44
Amillepora25945	chr14	13020279	13030831	+	10553	28	16	21	22	23	24	92	81	63	70	76	83
Amillepora25944	chr14	13017940	13019887	+	1948	0	0	0	0	0	1	2	1	1	0	0	2
Amillepora25942	chr14	12999644	13002089	+	2446	13	12	11	18	16	11	4	5	8	5	12	7
Amillepora25941	chr14	12975637	12995041	-	19405	59	53	35	56	44	66	46	46	46	48	61	50
Amillepora25943	chr14	13017627	13017909	+	283	0	0	0	0	1	0	0	2	0	1	0	1
Amillepora25950	chr14	13044372	13044992	+	621	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25952	chr14	13084498	13085239	+	742	4	19	16	12	9	14	10	24	19	24	13	17
Amillepora25954	chr14	13128564	13131981	-	3418	4	1	3	8	11	4	3	2	6	4	7	7
Amillepora25953	chr14	13112941	13116305	+	3365	0	2	1	0	2	1	0	0	0	0	1	0
Amillepora25957	chr14	13215051	13216715	-	1665	1	1	1	4	3	2	0	2	1	7	3	3
Amillepora25959	chr14	13253453	13257369	-	3917	4	0	2	1	2	1	1	0	4	1	3	2
Amillepora25958	chr14	13247672	13248501	-	830	0	1	0	0	1	0	0	0	0	0	0	0
Amillepora25960	chr14	13258599	13268046	-	9448	7	13	14	9	15	24	16	21	18	31	33	25
Amillepora25956	chr14	13200999	13204292	+	3294	4	0	1	1	3	2	1	3	2	1	1	2
Amillepora25961	chr14	13295506	13296609	+	1104	2	2	1	4	4	4	2	3	1	6	4	4
Amillepora25963	chr14	13312841	13317484	+	4644	1	1	3	1	2	2	4	1	0	1	2	1
Amillepora25964	chr14	13337658	13338668	-	1011	0	0	0	0	0	0	1	5	3	4	13	8
Amillepora25965	chr14	13338692	13341671	-	2980	1	0	2	6	4	2	0	0	0	0	0	1
Amillepora25962	chr14	13296165	13305443	-	9279	29	7	15	14	14	14	2	7	4	7	2	3
Amillepora25967	chr14	13467880	13485964	-	18085	11	18	19	33	22	20	6	13	7	14	13	16
Amillepora25968	chr14	13489012	13496949	+	7938	21	16	18	20	17	46	4	4	3	4	6	2
Amillepora25972	chr14	13539855	13544619	+	4765	0	1	3	0	0	1	1	0	0	1	0	0
Amillepora25973	chr14	13551783	13554281	+	2499	0	5	4	4	6	5	3	3	6	2	8	4
Amillepora25971	chr14	13536737	13538903	+	2167	0	1	0	0	0	0	0	0	0	0	0	1
Amillepora25974	chr14	13595301	13598251	+	2951	2	2	0	2	0	1	0	0	0	0	0	0
Amillepora25975	chr14	13636372	13638341	+	1970	0	0	0	0	0	0	0	0	1	1	0	0
Amillepora25982	chr14	13750989	13752337	-	1349	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25980	chr14	13710427	13714616	+	4190	2	2	0	2	5	0	4	0	7	0	1	2
Amillepora25979	chr14	13703758	13708620	+	4863	2	1	0	1	1	1	1	1	0	0	0	0
Amillepora25977	chr14	13690445	13692354	-	1910	2	2	2	1	1	1	0	1	3	0	4	1
Amillepora25981	chr14	13714617	13716337	+	1721	0	0	0	1	0	0	0	0	0	0	0	0
Amillepora25984	chr14	13777993	13790969	+	12977	24	29	28	25	32	61	18	18	18	10	20	24
Amillepora25988	chr14	13965413	13966033	+	621	0	0	1	1	0	0	0	1	2	1	0	1
Amillepora25993	chr14	14045074	14054375	+	9302	35	26	30	27	32	45	20	14	23	33	34	23
Amillepora25994	chr14	14055996	14056893	+	898	21	8	10	22	15	16	11	3	7	12	8	10
Amillepora25992	chr14	14003636	14005565	+	1930	21	21	25	15	25	22	25	20	42	16	15	25
Amillepora25991	chr14	14000258	14001447	+	1190	1	1	2	2	3	3	3	2	4	4	1	3
Amillepora25989	chr14	13991900	13996152	+	4253	0	0	0	1	0	1	1	1	1	1	0	0
Amillepora25999	chr14	14152075	14163003	+	10929	22	23	14	19	26	35	18	21	17	12	32	18
Amillepora25996	chr14	14081949	14125050	+	43102	405	305	333	377	413	478	401	436	361	381	415	404
Amillepora25998	chr14	14090816	14096379	-	5564	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25997	chr14	14085942	14087687	-	1746	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora26001	chr14	14163879	14166509	-	2631	10	6	12	14	16	11	11	8	5	8	18	9
Amillepora26005	chr14	14189286	14217606	+	28321	171	118	121	183	167	169	131	134	106	122	170	146
Amillepora26002	chr14	14166904	14178328	+	11425	83	51	70	82	88	109	82	109	63	74	61	83
Amillepora26012	chr14	14280463	14281401	+	939	15	10	10	27	15	14	13	11	6	5	9	14
Amillepora26010	chr14	14265418	14266323	+	906	5	7	8	8	13	17	9	3	1	2	2	5
Amillepora26007	chr14	14254454	14257931	+	3478	56	44	32	57	60	66	39	36	21	29	36	41
Amillepora26009	chr14	14260095	14263777	+	3683	5	2	2	4	9	1	1	3	1	0	4	1
Amillepora26003	chr14	14179587	14190583	-	10997	47	36	28	50	53	59	34	41	37	40	35	43
Amillepora26011	chr14	14268108	14273981	+	5874	5	2	5	7	6	6	9	8	9	6	12	11
Amillepora26008	chr14	14258327	14260070	+	1744	14	12	14	13	23	30	9	12	4	11	11	7
Amillepora26018	chr14	14363280	14387652	+	24373	128	115	107	141	170	196	100	120	106	137	149	115
Amillepora26016	chr14	14336138	14347624	+	11487	74	60	61	60	70	86	47	40	37	40	37	51
Amillepora26017	chr14	14350294	14363195	-	12902	34	27	28	28	37	27	30	34	25	33	35	45
Amillepora26015	chr14	14334152	14335051	-	900	1	0	1	2	1	10	0	3	1	1	0	0
Amillepora26013	chr14	14310255	14315521	-	5267	4	2	2	3	2	2	3	5	4	6	2	3
Amillepora26027	chr14	14455405	14456860	+	1456	22	16	15	35	17	21	28	33	35	28	35	45
Amillepora26020	chr14	14393492	14401099	-	7608	36	35	34	37	47	49	27	33	28	22	34	23
Amillepora26026	chr14	14447859	14454832	-	6974	12	14	16	20	23	28	21	20	19	12	15	21
Amillepora26019	chr14	14390189	14392522	-	2334	34	19	24	34	19	39	39	34	31	36	29	31
Amillepora26025	chr14	14436147	14437501	-	1355	0	1	0	1	0	0	0	0	2	1	2	0
Amillepora26021	chr14	14404255	14412022	-	7768	189	122	139	204	208	209	145	153	112	143	152	150
Amillepora26028	chr14	14458890	14459608	-	719	0	0	0	1	1	0	2	1	1	0	0	0
Amillepora26023	chr14	14414294	14433889	-	19596	78	53	56	64	102	82	38	59	49	58	80	71
Amillepora26030	chr14	14462718	14463506	-	789	0	1	1	4	1	3	4	5	4	4	5	11
Amillepora26029	chr14	14460674	14461802	-	1129	0	0	0	0	0	1	0	1	2	1	1	2
Amillepora26034	chr14	14535294	14542124	+	6831	32	18	25	33	29	44	13	25	16	20	20	25
Amillepora26035	chr14	14544645	14566834	-	22190	23	25	30	32	34	55	15	30	21	26	25	21
Amillepora26031	chr14	14480142	14507017	-	26876	59	49	36	72	97	128	47	66	54	74	89	62
Amillepora26033	chr14	14508625	14522120	-	13496	11	5	5	5	18	4	6	9	15	7	14	12
Amillepora26041	chr14	14658626	14662902	+	4277	3	0	0	2	0	3	1	2	1	0	2	1
Amillepora26038	chr14	14592841	14618949	+	26109	47	35	32	44	57	53	33	36	37	39	47	40
Amillepora26044	chr14	14668301	14675060	-	6760	86	54	56	85	101	99	117	148	125	139	149	117
Amillepora26037	chr14	14586839	14592415	-	5577	15	10	13	8	16	16	13	30	17	19	31	26
Amillepora26039	chr14	14625762	14648410	-	22649	32	24	25	18	35	45	34	40	34	42	38	44
Amillepora26043	chr14	14663270	14665969	-	2700	22	21	18	26	27	16	65	57	49	51	41	54
Amillepora26040	chr14	14652435	14658679	-	6245	49	44	39	49	56	77	32	48	39	56	35	40
Amillepora26036	chr14	14584515	14586131	-	1617	15	7	11	17	21	22	14	19	13	22	23	14
Amillepora26042	chr14	14659556	14663164	-	3609	2	3	0	2	1	2	4	2	2	2	1	3
Amillepora26051	chr14	14766037	14771501	+	5465	7	5	2	4	9	6	2	4	5	4	4	4
Amillepora26050	chr14	14747246	14763926	+	16681	60	49	45	65	72	79	46	58	43	51	42	55
Amillepora26048	chr14	14712771	14726623	+	13853	9	5	7	12	13	15	4	5	5	5	5	0
Amillepora26047	chr14	14695197	14703406	+	8210	14	11	15	14	16	15	18	12	12	15	14	15
Amillepora26046	chr14	14692135	14694820	-	2686	97	70	70	89	87	130	76	68	56	59	54	62
Amillepora26049	chr14	14729421	14744082	-	14662	52	32	32	36	36	41	75	58	32	40	48	41
Amillepora26052	chr14	14775654	14815694	+	40041	691	572	592	647	683	698	677	745	606	770	745	800
Amillepora26055	chr14	14837417	14846575	+	9159	70	54	70	71	71	97	57	62	57	48	61	54
Amillepora26053	chr14	14820482	14828379	-	7898	3	2	1	2	8	11	3	7	6	4	10	11
Amillepora26056	chr14	14850377	14859504	-	9128	81	64	73	84	87	131	77	76	60	70	78	75
Amillepora26054	chr14	14829672	14837318	-	7647	18	13	13	21	15	18	12	20	10	9	11	15
Amillepora26057	chr14	14861098	14874923	-	13826	94	52	61	97	100	91	74	78	61	79	96	68
Amillepora26059	chr14	14880548	14890253	+	9706	58	37	37	56	44	56	53	63	37	56	45	51
Amillepora26060	chr14	14890893	14893034	+	2142	19	5	14	9	11	14	9	10	7	14	10	18
Amillepora26061	chr14	14907987	14911255	-	3269	69	52	37	56	64	61	63	67	55	88	93	79
Amillepora26064	chr14	14954041	14956900	-	2860	22	7	12	22	27	32	69	48	31	44	30	44
Amillepora26062	chr14	14918785	14927494	-	8710	22	12	22	34	31	29	23	36	31	27	48	27
Amillepora26063	chr14	14928198	14945336	-	17139	29	23	23	45	39	48	40	50	39	47	64	59
Amillepora26068	chr14	15048309	15057190	+	8882	54	32	49	59	56	71	42	40	39	32	34	31
Amillepora26069	chr14	15058838	15060889	+	2052	1	1	0	1	1	2	1	4	2	1	2	1
Amillepora26067	chr14	15012246	15044701	-	32456	234	179	183	214	241	270	208	261	192	199	223	229
Amillepora26065	chr14	14991552	15000124	-	8573	19	16	15	22	14	25	11	10	3	5	12	5
Amillepora26066	chr14	15001530	15004414	-	2885	102	74	76	90	69	111	98	128	93	95	95	95
Amillepora26070	chr14	15060899	15079399	-	18501	263	194	220	258	286	299	170	217	184	213	238	228
Amillepora26076	chr14	15157801	15162957	-	5157	1	0	2	7	3	7	1	7	3	6	3	6
Amillepora26074	chr14	15105255	15137103	-	31849	47	47	46	51	81	58	32	35	37	45	55	65
Amillepora26072	chr14	15096736	15100376	-	3641	9	3	4	7	13	5	7	2	5	2	10	8
Amillepora26073	chr14	15103971	15104470	-	500	0	2	0	2	0	1	0	1	1	1	0	0
Amillepora26081	chr14	15243697	15246601	+	2905	6	3	5	7	4	7	1	1	5	5	3	3
Amillepora26077	chr14	15194549	15208614	-	14066	112	70	89	88	108	104	102	97	55	83	100	94
Amillepora26080	chr14	15234712	15235903	-	1192	1	0	0	0	1	0	0	0	0	0	0	0
Amillepora26083	chr14	15262328	15267746	-	5419	20	10	8	13	15	11	23	20	12	11	19	16
Amillepora26084	chr14	15275088	15276587	+	1500	2	1	4	2	3	2	1	0	2	2	1	0
Amillepora26087	chr14	15330380	15339501	+	9122	24	15	12	27	25	28	24	11	15	16	21	25
Amillepora26086	chr14	15321268	15324740	-	3473	7	5	4	3	7	6	0	0	0	2	2	2
Amillepora26092	chr14	15399277	15405557	+	6281	12	7	7	11	10	19	3	12	4	6	7	5
Amillepora26094	chr14	15427126	15433651	+	6526	7	3	1	9	12	19	4	5	4	4	3	5
Amillepora26089	chr14	15370087	15372601	+	2515	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora26090	chr14	15375297	15380318	+	5022	1	0	0	0	1	3	1	0	1	1	2	0
