# Program:featureCounts v1.6.3; Command:"/work/02260/grovesd/stampede2/subread-1.6.3-source/bin/featureCounts" "-a" "/work/02260/grovesd/lonestar/Amil_Zach_Fullers_v2.00/Amil.coding.gff3" "-t" "gene" "-g" "ID" "-o" "rnaseq_gene_counts.txt" "-T" "64" "--primary" "L5-S1_S216_host.bam" "L5-S2_S217_host.bam" "L5-S3_S218_host.bam" "L5-T1_S222_host.bam" "L5-T2_S223_host.bam" "L5-T3_S224_host.bam" "N12-S1_S219_host.bam" "N12-S2_S220_host.bam" "N12-S3_S221_host.bam" "N12-T1_S225_host.bam" "N12-T2_S226_host.bam" "N12-T3_S227_host.bam" 
Geneid	Chr	Start	End	Strand	Length	L5-S1_S216_host.bam	L5-S2_S217_host.bam	L5-S3_S218_host.bam	L5-T1_S222_host.bam	L5-T2_S223_host.bam	L5-T3_S224_host.bam	N12-S1_S219_host.bam	N12-S2_S220_host.bam	N12-S3_S221_host.bam	N12-T1_S225_host.bam	N12-T2_S226_host.bam	N12-T3_S227_host.bam
Amillepora25341	chr14	4978357	4983990	-	5634	11	15	5	10	19	18	8	14	5	11	15	11
Amillepora25334	chr14	4894681	4895763	-	1083	0	0	0	0	1	0	0	0	1	0	0	0
Amillepora25337	chr14	4939154	4955570	-	16417	2	0	0	1	1	1	1	0	0	0	1	0
Amillepora25344	chr14	5004446	5028781	+	24336	93	67	68	95	147	152	84	138	107	111	160	141
Amillepora25345	chr14	5022714	5037086	-	14373	7	20	14	20	23	13	28	27	19	24	20	13
Amillepora25347	chr14	5052210	5059035	-	6826	19	23	13	16	16	18	3	11	9	10	6	5
Amillepora25348	chr14	5059448	5102825	-	43378	21	17	17	22	33	45	20	28	12	26	64	14
Amillepora25352	chr14	5244074	5245135	+	1062	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25354	chr14	5258132	5262336	-	4205	7	3	4	11	5	8	3	5	5	4	4	7
Amillepora25350	chr14	5195707	5199391	-	3685	0	0	0	1	1	0	0	0	0	0	0	0
Amillepora25351	chr14	5219927	5227785	-	7859	41	27	30	38	42	27	19	23	28	32	30	27
Amillepora25353	chr14	5252564	5253585	-	1022	1	0	6	5	5	5	7	4	1	8	5	2
Amillepora25356	chr14	5291705	5364318	-	72614	728	502	607	763	756	858	515	596	455	502	524	513
Amillepora25355	chr14	5271278	5289854	-	18577	584	334	389	669	772	518	573	570	473	600	544	537
Amillepora25360	chr14	5369014	5369779	-	766	0	0	3	3	1	2	2	0	0	1	5	3
Amillepora25370	chr14	5487183	5488101	-	919	23	29	37	54	66	73	46	58	91	57	66	85
Amillepora25367	chr14	5451954	5454757	-	2804	1	1	0	1	2	2	0	0	2	0	1	2
Amillepora25361	chr14	5371652	5393316	-	21665	93	41	61	89	90	90	34	64	42	31	34	31
Amillepora25369	chr14	5457561	5477247	-	19687	33	12	11	22	44	50	10	12	12	13	15	11
Amillepora25364	chr14	5426927	5429035	-	2109	1	2	1	1	6	0	0	4	0	0	2	1
Amillepora25366	chr14	5431973	5449888	-	17916	12	9	5	3	18	16	6	8	7	8	16	16
Amillepora25362	chr14	5402448	5426106	-	23659	39	30	27	29	41	43	18	29	25	30	37	29
Amillepora25373	chr14	5523757	5531446	+	7690	235	131	131	171	186	239	162	182	146	188	168	161
Amillepora25371	chr14	5492931	5501567	-	8637	58	39	52	42	64	106	28	31	27	44	40	48
Amillepora25378	chr14	5598350	5601542	+	3193	14	7	15	12	19	12	7	5	7	8	11	7
Amillepora25384	chr14	5684068	5687720	+	3653	10	5	5	10	11	12	9	14	6	15	10	10
Amillepora25379	chr14	5608014	5611295	+	3282	2	5	4	6	12	10	5	6	5	8	6	6
Amillepora25376	chr14	5564204	5574338	+	10135	72	42	63	64	87	70	70	59	39	57	77	84
Amillepora25383	chr14	5654601	5677168	+	22568	11	9	10	18	22	25	20	26	14	29	22	22
Amillepora25380	chr14	5612109	5614264	+	2156	1	1	3	3	3	1	7	1	7	3	4	5
Amillepora25377	chr14	5580386	5584708	+	4323	4	8	7	6	9	11	0	3	2	3	5	4
Amillepora25382	chr14	5651391	5667309	-	15919	99	47	62	98	78	86	94	80	72	75	58	91
Amillepora25381	chr14	5647935	5650515	-	2581	5	4	3	6	3	12	1	3	0	1	1	5
Amillepora25391	chr14	5749255	5752987	+	3733	25	10	19	27	7	22	74	69	71	76	82	77
Amillepora25390	chr14	5735276	5738348	+	3073	1	3	0	0	3	5	0	1	2	1	7	4
Amillepora25385	chr14	5689085	5694579	-	5495	116	82	98	104	70	109	90	113	100	126	113	115
Amillepora25386	chr14	5696060	5725777	-	29718	42	37	42	26	34	31	16	35	29	27	37	34
Amillepora25389	chr14	5726572	5729013	-	2442	42	22	40	38	49	49	38	27	45	53	36	46
Amillepora25394	chr14	5809784	5817872	-	8089	11	5	8	18	21	17	0	8	7	8	18	8
Amillepora25395	chr14	5820098	5839706	-	19609	71	57	60	83	79	80	80	75	72	62	86	94
Amillepora25392	chr14	5791309	5807616	-	16308	88	50	73	76	75	97	200	186	136	197	143	179
Amillepora25397	chr14	5842962	5862194	-	19233	27	13	19	24	40	45	35	38	33	57	49	48
Amillepora25398	chr14	5876575	5899038	-	22464	54	56	36	58	78	78	23	37	27	33	50	41
Amillepora25406	chr14	5966571	5971773	-	5203	17	11	10	10	21	32	5	5	13	8	14	15
Amillepora25400	chr14	5911618	5913933	-	2316	1	0	2	1	2	3	1	2	3	4	0	1
Amillepora25404	chr14	5946763	5948937	-	2175	55	29	35	62	62	83	51	38	31	46	47	52
Amillepora25399	chr14	5901348	5906293	-	4946	1	1	1	0	0	1	0	4	2	4	10	3
Amillepora25403	chr14	5938668	5940843	-	2176	12	10	17	13	17	14	7	10	3	8	6	7
Amillepora25402	chr14	5929246	5937057	-	7812	36	27	43	36	26	48	18	29	18	20	25	35
Amillepora25401	chr14	5918580	5929239	-	10660	46	30	44	44	45	59	39	30	17	36	29	36
Amillepora25405	chr14	5949734	5952324	-	2591	26	13	22	23	15	18	9	11	7	11	6	15
Amillepora25410	chr14	5993336	6007433	+	14098	7	3	3	3	6	7	0	2	4	3	6	4
Amillepora25413	chr14	6028569	6045722	+	17154	68	49	51	87	80	98	18	28	12	24	21	19
Amillepora25412	chr14	6020518	6024111	+	3594	4	3	2	3	3	1	10	11	11	7	8	9
Amillepora25411	chr14	6008981	6011862	+	2882	3	2	3	2	3	6	7	5	5	5	3	5
Amillepora25419	chr14	6073124	6075322	+	2199	20	11	16	20	15	17	5	6	4	8	3	10
Amillepora25418	chr14	6060138	6061712	+	1575	10	3	3	12	6	5	6	8	7	12	3	6
Amillepora25415	chr14	6047684	6049876	+	2193	36	39	24	52	41	35	19	22	19	21	24	20
Amillepora25409	chr14	5993188	6000143	-	6956	3	3	4	4	3	5	11	9	9	4	13	11
Amillepora25407	chr14	5977161	5987559	-	10399	126	87	96	130	150	115	113	98	112	126	134	128
Amillepora25421	chr14	6081451	6083414	+	1964	1	1	1	1	1	3	1	1	1	2	0	1
Amillepora25416	chr14	6050887	6056402	+	5516	94	77	90	93	99	127	55	88	56	27	58	47
Amillepora25423	chr14	6095628	6096935	+	1308	4	0	3	3	1	2	0	1	0	0	1	0
Amillepora25429	chr14	6162203	6173506	+	11304	17	5	14	11	16	15	9	6	3	9	8	5
Amillepora25428	chr14	6148279	6149409	+	1131	0	0	0	0	0	0	0	2	0	0	1	0
Amillepora25426	chr14	6130423	6135096	-	4674	85	39	51	69	59	73	83	83	69	108	66	78
Amillepora25425	chr14	6107628	6109787	-	2160	15	10	9	16	14	14	10	14	5	18	12	13
Amillepora25422	chr14	6090092	6092492	-	2401	10	4	5	12	6	9	4	6	11	11	11	9
Amillepora25424	chr14	6098348	6098864	+	517	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25435	chr14	6237552	6238301	+	750	7	5	3	5	10	6	3	7	5	7	8	8
Amillepora25432	chr14	6216073	6225272	+	9200	35	25	29	39	31	35	11	12	13	13	11	8
Amillepora25431	chr14	6193537	6200317	+	6781	29	21	20	25	22	30	34	31	26	36	29	24
Amillepora25449	chr14	6387979	6388731	+	753	10	10	8	20	17	5	4	1	1	1	1	2
Amillepora25437	chr14	6279210	6290149	+	10940	5	7	4	6	2	6	3	3	6	4	6	2
Amillepora25436	chr14	6258967	6270561	+	11595	18	8	14	14	23	21	9	7	8	8	14	5
Amillepora25440	chr14	6329509	6338969	+	9461	20	16	8	11	14	21	25	41	27	28	28	30
Amillepora25444	chr14	6358512	6365113	+	6602	4	2	3	3	4	2	6	6	5	3	11	10
Amillepora25439	chr14	6304957	6312777	+	7821	43	16	39	43	36	24	2	7	4	6	9	6
Amillepora25447	chr14	6375038	6377288	-	2251	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25443	chr14	6351807	6354984	-	3178	0	0	1	0	0	0	8	5	13	9	12	9
Amillepora25451	chr14	6420784	6431317	+	10534	2	1	1	7	7	6	5	7	2	8	3	3
Amillepora25450	chr14	6402380	6413170	+	10791	21	15	15	17	23	35	9	6	6	6	4	11
Amillepora25459	chr14	6457756	6467939	+	10184	119	69	96	104	89	116	133	127	120	123	82	110
Amillepora25458	chr14	6450812	6453282	+	2471	7	4	4	5	2	3	2	1	1	1	2	2
Amillepora25456	chr14	6442275	6443374	+	1100	1	0	2	0	2	0	0	0	0	0	0	0
Amillepora25461	chr14	6537351	6538808	+	1458	0	1	1	2	0	2	4	1	2	6	3	4
Amillepora25460	chr14	6473447	6492260	+	18814	57	36	46	47	61	54	48	60	47	61	77	60
Amillepora25464	chr14	6568077	6570263	-	2187	7	6	6	14	14	8	11	15	9	10	7	9
Amillepora25463	chr14	6557506	6559530	-	2025	16	8	6	16	9	15	0	3	5	3	1	1
Amillepora25462	chr14	6552085	6557486	-	5402	53	21	38	30	40	60	5	6	2	5	3	4
Amillepora25465	chr14	6576979	6579180	-	2202	4	3	2	2	3	8	3	7	1	4	4	7
Amillepora25472	chr14	6614359	6651412	+	37054	460	274	360	504	412	450	366	390	319	394	368	381
Amillepora25466	chr14	6583846	6586581	+	2736	0	0	0	0	0	1	2	1	1	0	0	1
Amillepora25476	chr14	6652238	6653935	+	1698	11	6	8	8	5	6	11	11	7	16	10	6
Amillepora25477	chr14	6656722	6664254	+	7533	23	9	11	18	8	14	3	4	4	15	10	10
Amillepora25473	chr14	6616382	6617691	-	1310	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25471	chr14	6609313	6611511	-	2199	6	3	3	9	3	6	2	3	6	4	3	4
Amillepora25469	chr14	6598510	6601124	-	2615	8	5	10	5	5	11	37	23	29	36	28	33
Amillepora25468	chr14	6590318	6592479	-	2162	11	11	7	18	11	9	5	8	7	8	5	11
Amillepora25470	chr14	6601176	6603608	-	2433	7	0	3	4	3	4	17	14	7	8	7	5
Amillepora25479	chr14	6677571	6682583	+	5013	7	7	8	14	11	13	6	7	8	3	9	9
Amillepora25480	chr14	6707932	6710471	+	2540	3	2	2	8	7	7	14	8	15	11	15	18
Amillepora25484	chr14	6767443	6770109	-	2667	0	0	0	0	0	0	2	4	3	5	1	1
Amillepora25483	chr14	6743996	6748272	-	4277	5	4	2	13	4	10	24	24	18	25	23	28
Amillepora25481	chr14	6713911	6714986	-	1076	1	1	2	1	0	2	0	0	0	0	0	0
Amillepora25490	chr14	6850369	6851678	+	1310	7	5	3	4	1	6	3	2	2	3	3	4
Amillepora25491	chr14	6856548	6858746	+	2199	1	0	0	4	4	4	0	3	2	3	1	6
Amillepora25493	chr14	6864449	6866227	+	1779	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25492	chr14	6857752	6873028	-	15277	67	42	50	52	65	83	42	51	31	54	42	54
Amillepora25487	chr14	6814478	6816175	-	1698	16	5	11	7	13	10	10	4	6	7	11	6
Amillepora25488	chr14	6817001	6848911	-	31911	396	239	329	394	387	373	239	277	234	252	270	275
Amillepora25485	chr14	6789633	6793262	-	3630	8	4	5	5	5	10	19	13	12	8	13	9
Amillepora25486	chr14	6803182	6810086	-	6905	2	1	0	1	3	2	1	3	5	8	9	2
Amillepora25496	chr14	6889195	6902387	+	13193	40	20	44	38	37	58	25	29	13	19	28	19
Amillepora25495	chr14	6879416	6881416	+	2001	5	4	3	7	15	6	2	6	4	6	11	4
Amillepora25498	chr14	6907638	6908982	+	1345	6	2	6	5	5	4	0	1	0	0	0	0
Amillepora25499	chr14	6915590	6917428	-	1839	0	0	0	0	0	0	0	2	0	0	0	1
Amillepora25500	chr14	6962449	6980792	-	18344	66	67	47	82	89	107	65	69	53	84	84	92
Amillepora25501	chr14	6986335	6997523	-	11189	110	62	75	81	87	83	96	98	75	99	83	101
Amillepora25502	chr14	7005598	7010165	-	4568	6	10	8	9	10	11	2	5	3	3	8	3
Amillepora25505	chr14	7039535	7043506	-	3972	2	6	1	7	4	5	3	3	2	2	2	3
Amillepora25503	chr14	7016142	7018383	-	2242	2	3	3	3	1	1	4	3	1	2	6	1
Amillepora25509	chr14	7098628	7104007	+	5380	103	50	80	92	60	114	144	130	103	105	103	105
Amillepora25511	chr14	7112237	7112611	-	375	0	1	0	2	2	0	0	0	0	1	1	1
Amillepora25510	chr14	7104286	7111025	-	6740	11	9	7	15	17	18	20	16	14	20	22	21
Amillepora25512	chr14	7123092	7128021	-	4930	2	5	2	1	5	2	1	2	0	0	2	5
Amillepora25508	chr14	7092768	7096724	-	3957	0	1	1	1	0	0	0	3	1	2	1	1
Amillepora25516	chr14	7151288	7172145	-	20858	46	23	24	45	25	48	18	24	16	20	25	25
Amillepora25515	chr14	7140783	7141347	-	565	0	0	0	0	0	0	0	1	0	0	0	0
Amillepora25521	chr14	7217488	7218834	+	1347	0	0	0	0	0	0	0	0	1	0	0	1
Amillepora25522	chr14	7226327	7232338	+	6012	270	105	193	243	209	347	57	64	73	41	34	53
Amillepora25517	chr14	7153538	7169151	+	15614	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25518	chr14	7193667	7194593	-	927	15	7	20	13	11	21	2	2	4	2	7	4
Amillepora25519	chr14	7208991	7210775	-	1785	0	6	1	2	5	5	16	21	15	8	27	30
Amillepora25520	chr14	7210866	7213932	-	3067	0	0	0	1	0	0	0	1	0	1	1	1
Amillepora25529	chr14	7340580	7344617	+	4038	10	4	6	10	8	36	7	18	11	16	20	13
Amillepora25524	chr14	7318982	7320601	+	1620	0	1	0	0	1	2	0	1	0	0	1	2
Amillepora25527	chr14	7331499	7332917	-	1419	2	0	0	0	0	0	0	0	1	0	0	0
Amillepora25531	chr14	7381076	7382107	-	1032	0	0	0	0	0	0	0	1	0	0	0	0
Amillepora25526	chr14	7325713	7329197	-	3485	4	1	0	4	1	1	0	1	0	0	0	2
Amillepora25528	chr14	7334913	7340426	-	5514	1	1	4	1	1	4	3	4	2	2	1	2
Amillepora25525	chr14	7321336	7324142	-	2807	5	0	2	1	4	0	1	3	1	2	3	2
Amillepora25530	chr14	7355896	7361419	-	5524	2	5	3	1	3	0	3	4	6	6	3	3
Amillepora25533	chr14	7392747	7394819	+	2073	0	0	1	3	0	1	0	0	0	0	0	0
Amillepora25534	chr14	7402993	7403751	-	759	0	0	0	0	1	0	0	0	0	0	0	0
Amillepora25532	chr14	7391557	7392711	-	1155	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25535	chr14	7454067	7464303	-	10237	4	5	2	8	3	5	3	2	3	5	5	8
Amillepora25540	chr14	7552609	7558392	+	5784	8	3	3	14	10	19	1	2	1	6	5	0
Amillepora25541	chr14	7565586	7567124	+	1539	1	1	0	0	1	0	1	0	0	0	4	2
Amillepora25536	chr14	7495854	7496546	-	693	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25537	chr14	7503299	7506392	-	3094	0	0	1	4	4	3	2	1	0	0	1	0
Amillepora25539	chr14	7537944	7538667	-	724	4	3	3	7	15	8	1	0	0	2	1	5
Amillepora25542	chr14	7567241	7571474	+	4234	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25538	chr14	7528377	7529810	-	1434	6	5	3	3	7	4	10	11	12	9	18	14
Amillepora25544	chr14	7589288	7594390	-	5103	26	19	18	25	21	27	13	26	11	15	21	10
Amillepora25548	chr14	7651977	7653137	-	1161	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25547	chr14	7629562	7631813	-	2252	3	0	0	0	1	0	0	0	0	0	0	0
Amillepora25545	chr14	7602623	7605650	-	3028	3	1	3	5	4	3	0	0	0	0	0	0
Amillepora25550	chr14	7665261	7667081	-	1821	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25546	chr14	7613227	7613849	-	623	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25554	chr14	7697412	7698878	+	1467	0	0	0	0	0	1	1	2	1	2	4	7
Amillepora25552	chr14	7684230	7696360	+	12131	16	13	7	17	32	42	10	14	6	10	12	11
Amillepora25557	chr14	7778827	7783189	+	4363	0	1	0	0	2	1	11	13	8	14	11	16
Amillepora25549	chr14	7652426	7672743	+	20318	20	22	19	20	23	41	2	4	9	3	8	3
Amillepora25551	chr14	7673212	7673687	+	476	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25555	chr14	7728821	7729141	-	321	0	0	0	0	0	0	0	0	0	0	0	1
Amillepora25556	chr14	7769155	7771182	-	2028	0	0	0	0	0	0	0	2	0	0	1	0
Amillepora25559	chr14	7786543	7792874	+	6332	21	12	11	25	18	22	0	1	0	2	3	1
Amillepora25562	chr14	7828504	7829457	+	954	0	0	0	0	1	1	0	0	0	2	0	0
Amillepora25565	chr14	7830887	7832055	+	1169	0	0	2	0	0	0	0	0	0	0	0	0
Amillepora25561	chr14	7827649	7828257	+	609	1	0	0	4	1	0	2	0	0	0	1	2
Amillepora25560	chr14	7820961	7825493	-	4533	1	0	2	3	6	3	0	1	1	1	0	8
Amillepora25568	chr14	7859330	7860811	-	1482	0	0	0	0	1	0	0	0	0	0	0	0
Amillepora25558	chr14	7782574	7783878	-	1305	0	0	0	0	1	0	0	0	0	1	0	0
Amillepora25567	chr14	7848730	7857500	-	8771	18	17	12	25	23	15	6	13	10	14	16	16
Amillepora25566	chr14	7836094	7844007	-	7914	4	3	2	2	1	2	0	1	0	1	2	3
Amillepora25563	chr14	7829823	7830332	+	510	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25564	chr14	7830406	7830869	+	464	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25573	chr14	7936693	7952152	+	15460	13	14	11	16	13	14	16	20	9	14	23	23
Amillepora25569	chr14	7907978	7913294	+	5317	17	11	7	17	20	25	7	8	10	12	20	9
Amillepora25571	chr14	7913325	7914196	+	872	0	0	0	0	0	0	0	1	0	0	0	1
Amillepora25572	chr14	7914931	7915252	+	322	0	0	0	0	2	1	1	0	1	0	1	0
Amillepora25576	chr14	7982580	7992089	+	9510	399	196	260	334	316	392	566	505	411	705	457	616
Amillepora25575	chr14	7970144	7975861	+	5718	19	10	14	6	20	17	7	10	9	7	6	17
Amillepora25579	chr14	8014461	8015936	-	1476	11	3	9	16	7	12	4	2	6	3	17	6
Amillepora25580	chr14	8020123	8052101	-	31979	41	34	34	39	47	83	25	53	36	39	56	48
Amillepora25578	chr14	7997708	8003317	-	5610	18	7	9	15	11	24	11	8	12	32	19	27
Amillepora25589	chr14	8153474	8154223	+	750	17	18	12	19	16	19	13	15	10	27	15	28
Amillepora25585	chr14	8080137	8081054	+	918	20	6	11	16	10	8	8	12	14	10	11	9
Amillepora25588	chr14	8121984	8145105	+	23122	133	81	90	111	115	130	160	159	133	151	142	159
Amillepora25590	chr14	8155322	8186516	-	31195	121	86	104	133	122	149	99	92	111	115	131	150
Amillepora25586	chr14	8085265	8116781	-	31517	503	325	422	600	522	636	546	441	466	563	425	565
Amillepora25591	chr14	8186400	8192083	+	5684	5	3	4	13	8	7	8	9	8	15	8	12
Amillepora25594	chr14	8223086	8231495	-	8410	1419	775	1182	1379	1265	1167	1790	1710	1486	1744	1477	1845
Amillepora25596	chr14	8237078	8285490	-	48413	269	230	211	348	291	322	315	316	277	349	360	370
Amillepora25592	chr14	8190262	8218970	-	28709	24	21	17	31	28	21	39	47	40	63	77	57
Amillepora25601	chr14	8300945	8302219	+	1275	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora25608	chr14	8339409	8347817	+	8409	17	10	10	13	17	22	39	42	33	27	24	32
Amillepora25612	chr14	8376985	8378112	+	1128	1	0	0	0	0	5	5	4	2	5	0	4
Amillepora25606	chr14	8328332	8338493	+	10162	5	2	4	7	3	2	32	44	21	41	34	37
Amillepora25613	chr14	8384463	8386256	-	1794	3	0	0	3	1	3	1	0	0	0	0	2
Amillepora25605	chr14	8312809	8314662	-	1854	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25611	chr14	8367834	8369613	-	1780	0	0	0	0	0	0	2	6	3	1	4	4
Amillepora25600	chr14	8292966	8300215	-	7250	22	18	26	23	35	34	19	30	17	23	28	21
Amillepora25602	chr14	8302793	8303758	-	966	0	0	0	0	0	0	0	0	0	0	1	1
Amillepora25607	chr14	8338626	8339330	+	705	1	0	0	0	0	0	0	1	0	0	0	0
Amillepora25614	chr14	8389018	8390514	+	1497	5	5	2	3	4	4	5	3	5	3	2	3
Amillepora25617	chr14	8414757	8415452	+	696	3	0	0	0	1	3	1	0	0	1	4	0
Amillepora25615	chr14	8397807	8404442	+	6636	42	10	22	20	29	16	45	40	29	34	34	27
Amillepora25616	chr14	8406304	8411103	-	4800	0	1	0	0	0	0	0	0	0	0	0	0
Amillepora25628	chr14	8516408	8517338	+	931	0	0	0	0	0	0	3	2	2	7	4	2
Amillepora25629	chr14	8518848	8520510	-	1663	0	0	1	0	0	0	0	2	0	0	0	3
Amillepora25630	chr14	8523824	8525308	-	1485	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25634	chr14	8636140	8641797	+	5658	91	61	65	78	96	158	45	70	53	76	73	67
Amillepora25631	chr14	8597435	8598816	+	1382	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25632	chr14	8599038	8602774	+	3737	2	0	0	1	1	0	0	0	0	1	0	0
Amillepora25635	chr14	8699940	8701457	+	1518	0	0	0	0	0	0	0	1	0	1	0	2
Amillepora25636	chr14	8710510	8711257	+	748	0	0	0	0	0	1	0	0	0	1	1	0
Amillepora25637	chr14	8743704	8744451	+	748	0	0	0	0	0	0	1	1	0	1	0	0
Amillepora25638	chr14	8772491	8773238	+	748	1	0	0	0	0	0	0	0	0	1	0	0
Amillepora25639	chr14	8824187	8854661	+	30475	147	109	104	169	140	129	141	111	113	155	182	185
Amillepora25643	chr14	8868328	8874858	-	6531	0	0	0	0	0	0	0	2	1	0	2	1
Amillepora25642	chr14	8866642	8868104	+	1463	0	0	0	0	1	1	0	0	0	0	0	0
Amillepora25650	chr14	8946257	8953636	+	7380	18	12	16	19	22	27	19	33	21	21	18	24
Amillepora25645	chr14	8905499	8907679	+	2181	12	6	2	10	12	9	6	9	8	3	8	7
Amillepora25646	chr14	8912371	8914545	+	2175	8	3	5	2	12	7	10	12	4	5	8	8
Amillepora25654	chr14	8963030	8964328	+	1299	45	41	41	57	47	45	38	44	40	38	53	42
Amillepora25649	chr14	8942680	8945421	+	2742	6	4	5	1	4	10	14	12	13	11	10	9
Amillepora25656	chr14	8969680	8978961	+	9282	45	36	33	53	52	58	44	48	29	56	34	34
Amillepora25655	chr14	8966076	8969179	+	3104	40	31	36	50	58	67	36	50	39	40	34	60
Amillepora25653	chr14	8957890	8962864	-	4975	80	61	59	57	59	67	74	71	79	83	82	98
Amillepora25647	chr14	8920417	8942585	-	22169	122	71	86	133	125	122	168	168	146	161	126	127
Amillepora25657	chr14	8978471	8980329	-	1859	1	0	0	0	2	0	0	3	1	4	1	1
Amillepora25644	chr14	8893238	8893553	-	316	0	0	0	0	0	0	0	0	0	0	1	0
Amillepora25661	chr14	9049517	9061057	+	11541	5	6	2	6	5	11	15	16	9	18	16	13
Amillepora25658	chr14	8988185	9004648	+	16464	5	13	7	23	14	21	16	23	12	18	19	30
Amillepora25660	chr14	9020248	9023708	-	3461	6	5	4	13	11	11	3	5	3	6	1	1
Amillepora25659	chr14	9013822	9014882	-	1061	1	0	1	1	0	0	0	1	0	0	0	1
Amillepora25665	chr14	9093571	9096176	+	2606	4	1	3	4	1	7	1	2	2	2	1	4
Amillepora25670	chr14	9147908	9164385	+	16478	14	10	15	14	15	16	16	28	16	20	31	18
Amillepora25663	chr14	9084977	9085624	+	648	0	0	0	0	1	0	0	0	0	0	0	0
Amillepora25666	chr14	9107208	9110087	+	2880	0	1	0	4	0	0	1	0	0	2	0	1
Amillepora25662	chr14	9083606	9084403	+	798	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25667	chr14	9112803	9118444	+	5642	3	0	2	2	0	1	2	4	0	1	0	0
Amillepora25671	chr14	9174756	9176937	-	2182	2	3	1	2	0	3	3	9	4	12	6	9
Amillepora25668	chr14	9137761	9139398	-	1638	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25664	chr14	9087146	9093013	-	5868	4	10	4	8	7	12	7	5	12	3	7	13
Amillepora25669	chr14	9139893	9140797	-	905	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25677	chr14	9239088	9242611	+	3524	1	3	4	1	3	3	3	9	3	3	6	3
Amillepora25675	chr14	9227195	9228756	+	1562	1	0	0	2	0	0	1	6	3	1	6	3
Amillepora25679	chr14	9260815	9275464	+	14650	20	12	5	18	13	21	25	51	49	27	36	37
Amillepora25672	chr14	9193079	9206596	+	13518	14	12	7	16	26	15	19	23	23	29	29	21
Amillepora25674	chr14	9217728	9219980	-	2253	10	2	2	1	1	4	11	9	6	7	10	12
Amillepora25678	chr14	9253573	9256740	-	3168	3	2	3	3	5	3	6	10	9	11	6	10
Amillepora25682	chr14	9286523	9329099	-	42577	90	71	63	100	110	90	50	41	31	57	60	67
Amillepora25683	chr14	9330385	9369589	-	39205	127	109	99	140	192	140	55	65	74	73	101	83
Amillepora25681	chr14	9283665	9286402	-	2738	66	43	42	58	69	47	21	32	28	16	25	30
Amillepora25699	chr14	9457858	9459996	+	2139	13	8	8	14	21	19	6	7	13	14	19	23
Amillepora25691	chr14	9423824	9425083	+	1260	1	0	0	1	1	1	0	0	0	1	5	1
Amillepora25692	chr14	9425125	9428079	+	2955	1	1	0	0	0	1	0	0	0	2	1	0
Amillepora25700	chr14	9475753	9480120	+	4368	0	1	0	0	1	0	0	0	0	0	0	0
Amillepora25685	chr14	9387117	9393368	-	6252	1	0	5	8	6	2	6	4	6	3	6	8
Amillepora25698	chr14	9447628	9453011	-	5384	33	21	25	27	15	24	25	22	23	26	31	35
Amillepora25689	chr14	9414615	9415856	-	1242	1	0	0	0	0	0	0	0	1	1	0	0
Amillepora25694	chr14	9436619	9437822	-	1204	0	2	1	0	1	4	0	0	0	0	0	0
Amillepora25690	chr14	9419055	9421830	-	2776	29	12	22	21	36	11	18	9	20	22	20	17
Amillepora25684	chr14	9380347	9386857	-	6511	47	33	32	54	84	59	37	27	27	43	41	51
Amillepora25687	chr14	9403063	9406310	-	3248	3	2	3	3	3	7	3	7	8	8	5	9
Amillepora25686	chr14	9394289	9401914	-	7626	22	12	17	14	37	34	10	16	12	29	30	23
Amillepora25693	chr14	9429184	9432555	-	3372	1	2	6	0	3	0	0	1	0	2	0	2
Amillepora25688	chr14	9411753	9414030	-	2278	1	4	0	0	0	1	0	1	0	1	0	0
Amillepora25697	chr14	9439714	9440283	-	570	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25696	chr14	9438613	9439246	-	634	0	0	0	0	0	0	0	0	0	0	0	0
Amillepora25704	chr14	9527162	9536526	+	9365	177	106	141	160	150	200	175	190	162	210	163	173
Amillepora25702	chr14	9491330	9494146	+	2817	1	2	0	1	1	3	0	4	1	3	5	5
